"Accident_Index","accyr","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","make","model"
"2016010000141","2016","2","4","0","18","0","5","0","0","0","0","1","1","6","1","4","-1","-1","-1","2","1",\0,\0
"2016010000143","2016","1","4","0","18","0","0","0","11","0","0","1","1","1","1","5","125","1","4","3","1","Honda","CBF 125 M-B"
"2016010000146","2016","1","11","0","4","0","8","0","0","0","0","0","1","1","1","9","4500","2","-1","2","1","WRIGHTBUS","NEW BUS FOR LONDON"
"2016010000147","2016","1","3","0","18","0","1","0","0","0","0","3","1","2","1","5","49","1","3","3","1","Skyteam","06 MONKEY 50"
"2016010000147","2016","2","9","0","9","0","1","0","0","0","0","3","1","6","1","9","1596","1","7","5","1","FORD","FOCUS TITANIUM 100"
"2016010000153","2016","1","19","0","7","0","8","0","0","0","0","4","1","1","1","8","-1","-1","-1","-1","1",\0,\0
"2016010000153","2016","2","1","0","18","0","8","0","0","0","0","1","1","6","2","5","-1","-1","-1","-1","1",\0,\0
"2016010000154","2016","1","9","0","9","0","5","0","0","0","0","1","1","6","2","8","1400","2","9","2","1","MAZDA","2 ANTARES TD"
"2016010000154","2016","2","3","0","13","0","1","0","0","0","0","1","1","6","1","4","125","1","5","4","1","Honda","CBF 125 M-B"
"2016010000157","2016","1","9","0","9","0","0","0","0","0","0","4","2","6","2","5","1598","1","8","9","1","VAUXHALL","ASTRA LIFE A/C"
"2016010000157","2016","2","5","0","18","0","0","0","0","0","0","1","1","6","1","9","599","1","26","4","1","SUZUKI","Missing"
"2016010000159","2016","1","8","0","7","0","5","0","0","0","0","4","1","1","1","9","1997","2","1","8","1","FORD","GALAXY ZETEC TDCI AUTO"
"2016010000159","2016","2","1","0","15","0","8","0","0","0","0","1","1","6","1","6","-1","-1","-1","6","1",\0,\0
"2016010000161","2016","1","9","0","18","0","2","0","0","0","0","1","1","6","1","6","-1","-1","-1","-1","1",\0,\0
